12.您的运动类 APP 使用经历是:  *,1.您的性别是:  *,2.您所在的年级是:  *,3.您更加喜欢的颜色系是:  *,4.您平时参加体育锻炼的频率是:  *,5.您每次进行体育锻炼的时间是:  *,6.您每次进行体育锻炼的强度是:  *,7.您偏向的运动环境是:  *,8 (B.篮球),8 (E.排球),8 (J.瑜伽),9 (A.锻炼兴趣),9 (B.空闲时间),9 (F.集体效应),9 (G.其他),10(GPS记录运动轨迹),10(计步/计数),10(运动计划),10(视频指导/运动知识),10(卡路里消耗),10(运动圈互动),10(音乐播放),10(提供课程性价比高),10(其他),11.您对运动类APP在以下属性方面的重要性程度的看法是: *—GPS运动轨迹记录运动历程,计步/计数获知日常运动量,制定运动计划和运动安排的执行程度,运动知识、视频指导的全面性与专业性程度,计算卡路里消耗,APP运动达人及好友的经验分享,音乐播放愉悦运动心情,使用运动类app的性价比优势（对比健身房等）,运动排行榜或好友间竞赛的激励方式
0,1,2,3,2,3,2,1,0,0,0,1,2,4,7,5,4,2,1,3,6,7,9,10,2,3,4,5,2,4,3,2,2
0,2,2,3,2,1,1,2,0,0,0,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,4,4,4,4,4,4,4,4,4
1,2,2,2,1,2,2,4,0,0,0,4,3,6,7,2,5,4,1,3,6,7,9,10,3,5,5,5,4,3,4,4,2
0,2,2,3,2,2,3,1,0,0,1,1,2,6,7,1,2,3,4,5,6,7,9,10,3,2,4,3,3,4,3,2,3
1,1,2,1,2,2,2,2,1,0,0,1,3,4,-2,1,2,3,4,5,6,7,9,-2,5,5,5,5,5,5,5,5,5
0,1,2,3,2,3,4,1,0,1,0,2,1,5,4,9,4,3,1,7,5,2,6,10,2,3,5,5,3,4,5,5,3
0,1,2,3,3,3,1,1,1,0,0,3,1,-2,-2,-2,3,-2,-2,2,-2,1,-2,-2,2,4,3,4,4,3,5,3,3
1,2,2,1,2,1,2,2,0,0,0,1,2,-2,-2,1,-2,-2,-2,2,-2,-2,-2,-2,5,5,4,4,5,5,5,5,5
0,2,2,1,2,2,2,2,1,1,0,2,3,1,7,4,5,6,7,3,8,9,10,2,5,4,4,4,5,3,4,4,4
1,1,2,3,3,1,3,4,0,0,0,1,2,-2,-2,1,2,3,4,5,6,7,9,10,5,5,5,5,5,5,5,5,5
1,2,1,2,2,2,3,1,0,0,1,2,1,6,-2,2,5,4,3,1,6,7,8,-2,4,4,4,4,4,4,4,4,4
1,2,1,3,2,2,3,2,0,0,0,-2,1,-2,-2,3,2,4,8,5,1,7,9,10,4,4,5,4,4,4,2,4,3
1,2,2,2,2,2,2,2,0,1,0,3,1,5,7,4,3,1,2,7,5,6,9,10,5,4,4,4,2,3,3,4,3
0,2,1,2,3,1,2,4,0,1,0,3,-2,2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,3,3,3,3,3,4,4,3,3
0,2,1,2,2,1,3,2,0,1,0,2,4,1,-2,9,8,2,3,1,7,4,6,-2,3,3,5,5,4,4,4,4,5
0,1,2,1,1,3,2,1,0,0,0,1,2,3,7,4,2,3,1,5,8,6,9,10,4,4,5,5,5,5,3,3,3
0,1,2,3,2,2,3,1,0,0,0,1,2,-2,-2,4,3,1,2,5,8,6,9,10,3,4,5,4,3,3,3,3,4
0,1,4,2,2,2,3,2,0,0,0,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,5,4,5,3,3,3,4,4,3
0,2,1,1,2,3,2,2,0,0,0,4,1,2,-2,1,2,3,5,6,7,4,9,-2,1,1,1,1,1,1,1,1,1
0,1,2,2,2,3,1,1,1,0,0,1,-2,-2,-2,-2,1,-2,2,-2,-2,-2,-2,-2,2,2,3,1,2,1,2,1,2
0,2,2,3,2,2,2,1,0,0,0,2,3,1,-2,5,1,2,6,3,7,4,9,10,4,5,5,5,5,3,4,4,3
0,1,1,2,3,2,2,2,0,0,0,2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,2,3
0,1,1,3,3,3,1,1,0,0,0,1,2,-2,-2,5,4,2,1,3,8,9,7,10,3,4,5,5,4,4,3,3,3
0,2,2,2,2,2,2,1,0,0,0,1,2,-2,-2,-2,1,-2,-2,2,-2,3,-2,-2,3,4,3,4,3,4,5,4,4
0,1,2,1,2,2,1,2,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,1,-2,2,-2,-2,3,3,3,3,3,3,3,3,3
1,2,1,3,2,2,3,1,0,1,1,1,2,-2,5,1,2,3,-2,4,-2,5,6,-2,5,5,5,5,4,2,4,1,1
1,1,2,1,2,2,1,2,0,0,0,1,2,-2,-2,1,2,3,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3
0,1,2,3,2,2,3,4,0,0,0,1,-2,-2,-2,-2,2,-2,-2,1,-2,-2,-2,-2,4,4,4,4,5,4,4,4,4
0,1,2,1,2,2,3,1,0,0,0,2,1,-2,-2,3,-2,-2,-2,2,-2,1,-2,-2,3,4,4,5,3,2,4,4,1
0,1,2,3,2,1,2,2,1,1,0,1,2,-2,3,2,-2,1,3,4,-2,-2,-2,-2,3,5,5,2,4,2,5,3,2
0,2,2,1,1,1,1,1,0,0,0,1,2,3,7,5,6,7,1,8,2,3,9,10,1,1,1,1,1,2,2,4,1
0,1,2,1,2,1,2,2,0,0,0,1,3,2,-2,2,1,-2,3,-2,-2,-2,-2,-2,4,3,3,5,3,3,3,4,4
0,1,1,3,4,3,2,2,0,0,0,1,2,3,7,9,8,1,2,7,6,3,4,-2,3,4,4,4,3,3,5,4,3
0,1,2,3,3,4,1,2,1,0,0,3,1,5,7,1,4,3,5,2,-2,-2,-2,-2,4,4,4,5,4,4,3,4,3
1,2,2,1,3,2,2,4,0,0,0,1,2,-2,-2,4,3,-2,1,2,-2,-2,-2,-2,4,4,4,5,4,4,4,4,4
0,1,1,1,3,1,4,4,0,0,0,-2,-2,1,-2,1,6,5,2,3,4,7,9,-2,5,5,5,5,5,5,5,5,5
0,1,2,1,2,1,3,1,1,0,0,2,1,-2,-2,-2,-2,2,3,-2,-2,1,-2,-2,2,4,4,4,4,4,5,3,3
0,2,2,1,2,3,3,2,0,0,0,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1
0,2,2,2,2,3,2,2,0,1,1,1,2,4,-2,1,4,5,6,2,-2,3,-2,-2,4,4,4,5,4,3,3,3,3
0,2,3,3,3,4,2,3,0,0,0,3,-2,2,-2,4,2,1,7,3,6,-2,-2,-2,3,4,5,4,4,3,3,3,3
1,1,1,2,5,2,1,2,1,0,0,1,2,4,-2,1,9,3,4,2,8,5,7,-2,4,4,4,4,4,4,4,4,4
0,2,2,2,2,2,3,4,0,1,0,1,3,6,7,5,3,6,7,1,8,2,9,10,4,5,4,4,5,3,4,4,3
0,2,2,1,1,1,2,4,0,0,0,-2,1,-2,2,1,-2,-2,-2,2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3
0,2,2,1,1,1,1,3,0,1,0,1,2,5,7,-2,-2,-2,-2,1,-2,2,3,-2,2,5,3,5,5,1,5,5,2
0,1,2,1,2,1,3,2,0,0,0,2,1,-2,-2,2,3,-2,4,1,-2,-2,-2,-2,2,4,4,3,4,2,3,2,2
0,1,4,2,2,1,3,4,0,0,0,1,2,5,7,3,1,2,4,5,6,7,9,10,3,2,3,2,2,2,4,2,4
0,1,2,3,1,1,4,1,0,0,0,1,-2,-2,-2,2,-2,3,1,-2,-2,4,-2,-2,4,4,4,5,3,3,4,4,2
0,1,2,1,1,1,3,2,0,0,1,2,1,-2,-2,2,1,4,3,-2,-2,-2,-2,-2,5,5,4,4,3,3,3,4,3
0,1,2,1,2,2,4,1,0,0,0,1,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1
0,1,2,3,3,3,1,1,1,0,0,1,2,6,7,2,3,4,1,10,9,5,7,8,1,2,1,1,5,5,5,5,5
0,1,2,1,1,1,4,1,0,1,0,1,2,5,-2,4,3,1,2,5,6,7,8,-2,3,4,4,5,3,3,4,4,3
0,1,2,3,2,3,2,4,0,0,0,1,2,3,7,2,6,3,4,5,8,7,1,10,3,4,5,3,3,3,3,4,3
0,1,2,1,1,1,3,2,1,0,0,1,2,6,7,9,3,2,1,8,7,6,4,10,4,3,4,4,4,3,4,4,4
0,1,2,3,3,3,2,1,0,0,0,1,2,-2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,3,3,4,5,3,3,3,4,3
1,1,2,2,3,2,1,4,0,0,0,2,1,6,-2,1,2,4,3,5,6,7,9,-2,4,4,4,4,4,4,4,4,4
0,1,2,3,1,3,1,1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2
0,1,2,1,2,2,2,2,1,0,0,1,2,3,5,6,3,5,4,1,8,7,9,10,3,4,2,4,3,4,3,3,5
0,1,2,3,3,4,1,2,1,0,0,1,2,6,7,5,1,4,3,2,6,7,9,10,5,4,5,4,4,4,4,4,4
0,1,2,2,2,2,2,1,1,0,0,1,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,3,2,2,2,3,2,3,2,3
0,2,2,1,2,1,2,1,0,0,1,2,1,6,7,1,2,3,4,5,6,7,9,10,3,3,3,3,3,3,3,3,3
0,1,2,2,2,2,2,2,0,0,0,3,1,2,-2,3,1,-2,-2,-2,-2,2,-2,-2,5,5,5,2,1,1,5,1,1
1,1,1,2,2,2,2,1,0,0,0,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,3,4,4,5,4,1,5,3,4
0,1,2,3,3,3,2,1,1,0,0,1,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3
1,2,1,2,2,1,3,2,0,0,0,4,1,-2,-2,-2,1,-2,-2,3,2,-2,4,-2,3,3,3,3,3,3,3,3,3
0,1,2,3,1,1,4,2,0,0,0,1,2,5,-2,1,4,5,3,6,7,9,2,-2,5,5,5,5,5,5,5,5,5
0,1,2,2,2,4,1,1,1,0,0,1,-2,-2,-2,-2,1,-2,-2,-2,2,-2,-2,-2,4,4,5,4,3,4,3,3,4
0,1,2,1,3,1,3,2,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,5,4,3,5,3,4,4,4
0,2,1,2,1,1,4,2,1,0,0,1,2,3,4,4,3,5,6,2,7,1,9,10,1,1,1,1,1,1,5,1,1
0,2,1,2,2,4,2,1,0,0,1,1,2,6,7,4,2,3,5,1,6,7,9,10,4,3,4,4,5,4,5,2,3
0,2,1,2,1,1,3,1,1,0,1,2,1,4,-2,1,2,-2,-2,3,-2,-2,-2,-2,3,4,5,4,5,3,5,5,3
0,1,2,3,2,3,1,1,1,0,0,1,2,5,6,3,4,2,1,5,7,8,10,9,3,3,3,5,3,4,3,3,3
1,2,2,3,2,1,2,2,0,0,0,2,1,-2,-2,-2,-2,-2,2,1,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3
0,1,2,3,2,1,3,1,1,0,0,2,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,-2,3,4,4,5,3,3,4,3,3
0,1,2,3,2,2,2,3,1,0,0,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,4,3,3,4,3,3,4,3,3
0,1,2,3,3,2,1,1,0,0,0,2,1,-2,-2,1,2,-2,-2,-2,-2,3,-2,-2,1,1,1,1,1,1,1,1,1
0,1,2,1,2,1,3,2,1,0,0,3,1,4,-2,3,1,7,5,2,8,6,9,-2,3,5,2,1,3,4,3,3,4
0,1,2,3,1,1,3,1,1,0,0,1,2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,2,3,3,5,4,4,3,3,2
1,1,2,2,2,2,1,2,1,0,0,1,2,-2,-2,-2,1,-2,3,2,-2,-2,-2,-2,5,5,5,5,5,5,5,5,5
1,1,2,2,2,3,1,2,0,0,0,1,2,6,7,9,1,3,4,2,5,6,8,10,3,4,4,4,3,4,3,3,4
1,1,2,2,5,3,1,4,1,0,0,1,2,-2,-2,5,4,1,2,3,-2,-2,-2,-2,5,5,5,5,5,2,2,2,2
0,2,2,3,2,1,3,2,0,1,0,1,2,-2,-2,-2,1,3,4,2,-2,-2,-2,-2,3,4,4,5,5,4,4,5,5
0,2,1,1,1,1,1,1,0,0,0,1,5,2,7,6,5,4,7,1,8,3,2,10,5,3,4,5,5,3,4,4,4
0,2,2,3,2,1,3,1,0,1,0,1,3,2,7,2,8,9,7,1,6,5,4,10,3,4,3,3,4,4,3,4,4
0,2,2,2,2,1,3,2,1,1,0,1,3,-2,-2,1,4,3,-2,2,-2,5,-2,-2,4,4,4,4,4,4,4,4,4
0,2,2,2,5,1,1,2,0,0,0,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3
0,2,2,3,2,1,3,4,0,0,0,7,1,5,6,6,5,7,1,2,3,4,9,10,4,4,5,5,4,4,5,3,3
0,2,2,1,2,1,3,2,0,0,0,1,2,5,-2,-2,1,2,4,3,5,6,8,-2,2,4,4,4,4,4,4,4,4
1,2,2,2,5,1,1,2,0,0,0,1,2,-2,4,-2,4,3,-2,2,-2,1,-2,-2,3,3,3,3,3,3,3,3,3
0,2,2,2,5,1,3,2,0,0,0,1,2,4,7,4,5,6,7,3,8,1,9,10,3,3,5,2,5,5,5,4,5
0,1,1,1,4,2,3,1,1,0,0,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,3,3,5,5,5,2,5,3,5
0,2,2,2,1,1,4,2,0,0,0,1,2,-2,-2,-2,-2,-2,-2,1,-2,2,-2,-2,5,5,3,5,3,3,5,3,3
0,2,2,1,1,2,3,4,0,0,0,2,1,6,7,3,1,2,4,5,8,6,9,10,4,5,4,4,5,3,3,3,3
0,2,2,1,2,2,1,2,0,1,0,1,2,-2,4,1,2,4,6,3,-2,5,-2,-2,5,5,5,4,5,3,5,5,3
0,1,2,1,3,3,2,2,1,0,0,1,2,-2,-2,9,7,2,4,5,3,6,8,-2,4,4,4,3,4,4,5,4,4
0,2,2,2,3,3,2,1,0,0,1,1,2,3,-2,1,-2,-2,3,2,-2,-2,-2,-2,5,5,4,4,5,3,4,3,3
0,2,2,1,1,1,3,1,0,0,0,4,3,6,7,1,2,3,4,5,-2,6,8,-2,4,4,4,4,4,2,4,4,3
1,2,1,1,5,1,3,4,0,0,0,2,1,4,7,1,2,3,-2,4,-2,5,6,-2,3,4,5,5,3,3,4,5,4
0,1,2,1,2,2,2,2,0,0,0,1,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,1,1,1,1,1,1,1
1,2,2,3,2,3,1,1,0,0,1,1,2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,-2,3,3,5,5,4,4,5,5,4
0,1,2,1,2,1,3,2,0,0,0,2,1,4,7,4,2,1,3,5,7,8,9,10,3,4,5,5,3,3,3,4,5
1,2,2,2,2,1,2,4,0,0,1,1,2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,4,4,5,5,4,3,4,4,4
0,2,1,1,2,3,3,1,0,0,0,1,-2,-2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,3,3,3,3,4,3,3,3,3
0,2,1,1,1,1,3,1,0,0,0,1,2,6,-2,5,6,2,1,4,8,7,3,-2,3,3,4,5,3,4,4,4,2
0,1,2,2,3,2,1,2,1,0,0,1,2,4,7,2,3,1,4,8,7,5,9,10,3,3,4,2,3,3,4,4,4
0,1,2,3,3,2,1,2,0,0,0,2,1,3,7,3,5,2,4,1,6,7,9,10,3,4,4,4,4,3,3,3,3
0,1,2,1,2,2,1,2,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,3,4,4,3,4,3,5,3,3
0,2,4,1,1,1,1,1,0,0,0,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1
0,1,2,3,4,3,2,1,1,0,0,1,2,6,-2,1,2,3,4,6,5,8,7,-2,2,2,4,4,4,2,2,2,2
0,2,1,1,2,1,3,4,0,0,1,2,1,4,7,6,7,2,1,3,9,4,5,10,4,4,5,5,5,3,5,4,4
0,1,2,3,2,1,2,4,1,0,0,1,6,2,7,1,2,3,4,5,6,7,9,10,3,3,3,3,3,3,3,3,3
0,1,3,1,2,1,2,1,0,0,0,2,4,3,-2,-2,-2,2,1,-2,-2,-2,-2,-2,3,3,4,4,3,3,3,3,3
0,1,3,1,2,3,2,2,0,0,0,4,5,2,7,3,2,4,1,5,6,9,8,10,3,3,4,4,4,4,4,4,4
0,1,2,1,4,2,1,1,0,0,0,1,2,-2,-2,-2,-2,3,2,1,-2,4,-2,-2,4,5,5,4,5,4,5,4,4
0,1,2,1,3,1,3,1,1,0,0,2,1,6,7,5,4,1,3,2,6,7,9,10,4,4,4,4,4,4,4,4,4
1,1,3,3,2,1,3,1,1,0,0,1,2,3,7,-2,-2,-2,-2,-2,-2,1,-2,-2,3,4,4,4,3,3,4,3,3
0,2,1,3,2,2,1,2,0,1,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,2,2,2,2,2,2,4,3,2
0,1,3,1,2,4,1,2,1,0,0,1,2,4,7,2,3,4,5,1,6,9,8,10,5,5,3,5,5,3,3,3,3
0,1,1,2,3,2,1,2,0,1,0,1,-2,2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,5,3,3,3,4,3,3,3,4
0,1,4,3,2,1,3,2,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,1,1,1,1,1,1,1
0,2,4,1,2,2,3,2,0,0,0,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,4,3,3,3,3,3,3,3,3
0,2,3,1,2,2,2,2,0,0,0,1,2,-2,-2,1,-2,-2,-2,2,3,4,-2,-2,3,3,5,5,5,3,4,3,3
0,1,3,3,2,2,3,2,0,0,0,2,1,6,7,2,3,4,5,6,7,1,9,10,3,3,3,3,3,3,3,3,3
0,2,4,1,1,1,4,2,0,0,0,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,3,5,3,3,5,5,3,5,1
0,1,4,3,2,1,1,2,0,0,0,1,2,4,5,2,1,3,7,4,8,6,9,10,5,5,4,4,5,4,4,4,4
0,1,4,1,1,2,2,1,0,0,0,2,1,-2,-2,1,-2,2,-2,-2,-2,-2,-2,-2,3,4,5,4,3,3,3,3,3
0,2,3,1,2,1,3,2,0,0,1,2,1,-2,-2,1,2,3,4,5,7,6,9,10,3,3,3,3,3,3,3,3,3
1,2,3,2,2,2,1,2,0,0,1,1,2,-2,-2,1,2,3,-2,-2,-2,4,-2,-2,5,5,5,5,5,5,5,5,5
0,1,4,3,1,1,1,1,0,0,1,-2,1,3,-2,-2,-2,1,-2,3,-2,-2,2,-2,2,5,5,4,5,4,3,4,3
0,2,3,1,1,1,4,1,0,0,0,2,4,1,-2,5,4,1,6,3,2,8,-2,-2,4,4,4,4,4,4,4,4,4
0,1,3,2,1,1,2,2,1,0,0,2,1,-2,-2,1,2,3,-2,-2,-2,-2,-2,-2,5,4,5,5,3,3,3,4,4
0,2,3,3,2,1,3,4,0,0,1,1,-2,-2,3,1,2,-2,-2,-2,-2,-2,-2,3,4,4,5,5,5,1,3,3,3
0,2,1,3,2,1,1,4,0,0,1,1,2,3,7,8,7,6,2,1,4,3,9,10,3,4,4,4,4,4,4,4,4
0,1,3,1,1,1,1,1,1,0,0,2,1,-2,-2,3,1,4,9,2,5,8,7,-2,3,4,4,4,3,3,4,3,2
0,1,3,1,2,2,3,2,1,0,0,1,2,6,-2,3,2,1,4,5,6,9,8,-2,4,5,5,4,4,4,4,4,4
0,2,1,1,1,1,3,2,1,0,0,1,2,3,7,1,2,8,7,6,5,3,9,10,5,5,5,5,5,5,5,5,5
0,2,2,1,2,1,3,2,0,0,0,3,2,1,7,3,4,2,5,1,6,7,9,10,4,4,3,3,4,4,4,3,3
0,2,1,3,2,1,3,1,0,0,0,3,1,6,7,6,4,3,9,1,2,7,8,10,3,3,3,3,4,3,4,3,3
1,2,2,1,2,1,4,4,0,0,1,1,2,-2,-2,4,5,1,2,3,6,8,9,10,4,4,4,4,5,5,5,5,5
0,1,2,3,2,2,2,1,0,0,0,-2,1,-2,-2,1,3,2,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3
0,1,3,1,2,2,2,1,0,0,0,3,1,6,7,5,4,3,2,7,6,1,9,10,4,4,4,5,3,3,5,4,3
0,2,2,2,2,3,2,3,0,0,0,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,2,1,3,3,3,3,3,2
0,1,2,1,2,3,1,2,0,0,0,1,2,-2,-2,1,2,-2,-2,3,-2,4,-2,6,1,1,1,1,1,1,1,1,1
0,2,2,2,3,2,1,2,0,1,0,-2,1,-2,-2,4,3,2,9,1,5,6,8,-2,4,4,3,2,4,3,5,4,4
0,2,4,3,1,1,4,2,1,0,0,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,2,1,2,1,3,3,4,3,3,3
0,1,2,2,2,3,2,2,1,0,0,1,2,7,6,1,2,3,4,5,6,7,9,10,1,1,1,1,5,5,5,5,2
0,1,2,3,4,4,1,3,0,0,0,7,5,4,1,10,9,1,8,7,6,5,3,2,1,1,5,5,1,1,1,1,1
0,1,2,2,1,1,1,1,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,2,3,3,4,4,5,5,5
0,1,3,2,3,2,2,1,1,0,0,1,2,-2,-2,-2,-2,1,2,3,4,5,6,-2,3,4,5,4,4,3,4,4,3
1,2,2,3,2,2,3,2,0,0,0,1,2,6,7,1,5,2,3,4,6,7,-2,-2,1,1,1,1,1,1,1,1,1
0,1,2,1,1,2,2,3,1,0,0,-2,-2,-2,2,-2,1,-2,-2,-2,2,-2,-2,-2,3,5,3,2,5,2,5,5,3
0,2,4,3,1,1,4,2,0,0,0,2,1,6,7,5,4,6,2,3,8,7,1,10,1,3,3,4,4,2,3,5,1
0,1,3,1,1,3,2,1,1,0,0,2,1,4,7,4,5,1,2,8,6,9,3,10,3,4,5,5,3,4,3,3,2
1,1,2,1,2,2,3,1,0,0,0,1,2,5,-2,-2,1,-2,-2,-2,2,-2,-2,-2,3,3,3,4,3,3,3,5,4
0,1,2,2,2,1,2,1,1,0,0,1,2,6,7,-2,1,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1
0,2,1,2,1,1,3,2,0,0,0,3,1,6,-2,1,2,3,4,5,6,7,9,-2,3,3,3,3,3,3,3,3,3
0,1,4,3,5,2,2,1,0,0,0,1,-2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,2,3,3,3,2,3,3,2,2
0,1,2,2,2,1,3,1,1,0,0,1,2,-2,-2,2,1,4,3,7,6,5,-2,-2,4,4,4,5,4,4,4,3,4
0,2,1,2,2,1,2,2,0,0,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,5,5,5,5,5,5,5,5,5
0,2,3,3,2,2,1,2,1,0,0,-2,1,2,-2,-2,1,4,3,2,-2,-2,-2,-2,3,4,4,4,4,3,3,4,3
0,1,2,1,2,3,1,1,0,0,0,2,1,5,7,1,2,3,6,4,8,5,9,10,5,5,5,3,4,3,4,4,3
0,1,2,1,2,4,2,2,1,0,0,2,1,5,7,1,2,3,6,5,8,7,9,10,4,4,4,4,4,4,4,4,4
